0.290196,0.419608,0.552941,0.607843,0.290196,0.603922,0.439216,0.372549,0.647059
0.160784,0.145098,0.152941,0.180392,0.160784,0.192157,0.137255,0.125490,0.160784
0.317647,0.360784,0.447059,0.403922,0.317647,0.529412,0.419608,0.309804,0.435294
0.070588,0.094118,0.141176,0.141176,0.070588,0.160784,0.105882,0.074510,0.164706
0.262745,0.349020,0.486275,0.576471,0.262745,0.647059,0.356863,0.376471,0.588235
0.066667,0.062745,0.078431,0.082353,0.066667,0.074510,0.066667,0.074510,0.109804
0.050980,0.235294,0.419608,0.270588,0.050980,0.250980,0.188235,0.137255,1.000000
0.152941,0.239216,0.180392,0.305882,0.152941,0.333333,0.133333,0.200000,0.082353
0.137255,0.235294,0.368627,0.282353,0.137255,0.352941,0.231373,0.188235,0.427451
0.180392,0.356863,0.325490,0.227451,0.180392,0.286275,0.223529,0.133333,0.160784
0.164706,0.215686,0.341176,0.305882,0.164706,0.349020,0.262745,0.145098,0.192157
0.196078,0.411765,0.756863,0.670588,0.196078,0.623529,0.501961,0.407843,0.443137
0.176471,0.109804,0.211765,0.262745,0.176471,0.239216,0.207843,0.160784,0.427451
0.133333,0.262745,0.470588,0.317647,0.133333,0.258824,0.239216,0.098039,0.054902
0.066667,0.200000,0.439216,0.380392,0.066667,0.298039,0.341176,0.152941,1.000000
0.105882,0.552941,1.000000,1.000000,0.105882,0.866667,0.533333,0.403922,1.000000
0.392157,0.498039,0.701961,0.407843,0.392157,0.862745,0.498039,0.211765,0.164706
0.074510,0.529412,1.000000,1.000000,0.074510,0.988235,0.439216,0.454902,0.745098
0.301961,0.509804,0.905882,0.588235,0.301961,0.717647,0.384314,0.356863,0.098039
0.278431,0.949020,1.000000,1.000000,0.278431,0.866667,0.635294,0.588235,0.239216
0.419608,0.780392,0.878431,0.827451,0.419608,0.760784,0.529412,0.223529,1.000000
0.501961,0.713725,1.000000,0.749020,0.501961,0.827451,0.521569,0.345098,0.819608
0.180392,0.200000,0.498039,0.525490,0.180392,0.290196,0.352941,0.270588,0.188235
0.086275,0.200000,0.274510,0.513725,0.086275,0.211765,0.317647,0.172549,0.450980
0.145098,0.058824,0.274510,0.352941,0.145098,0.270588,0.203922,0.203922,0.592157
0.129412,0.164706,0.270588,0.345098,0.129412,0.270588,0.219608,0.200000,0.305882
0.133333,0.133333,0.152941,0.156863,0.133333,0.164706,0.125490,0.109804,0.113725
0.141176,0.152941,0.188235,0.098039,0.141176,0.145098,0.196078,0.094118,0.572549
0.160784,0.160784,0.152941,0.160784,0.160784,0.160784,0.149020,0.109804,0.121569
